recipe_name,ingredients,instructions
Pancakes,"egg;milk;flour","1. In a bowl, whisk together eggs, milk, and flour until smooth. 2. Heat a lightly oiled skillet over medium heat. 3. Pour a small amount of batter into the skillet. 4. Cook until bubbles form on top, then flip and cook until golden brown. 5. Serve warm with syrup or toppings of choice."
Omelette,"egg;milk;cheese","1. Crack eggs into a bowl and whisk with milk. 2. Heat a non-stick pan with a little oil or butter. 3. Pour in the egg mixture and let it cook undisturbed. 4. Sprinkle cheese on top. 5. Fold the omelette in half and cook until set. 6. Serve hot."
Fruit Salad,"apple;banana;orange","1. Wash and peel the fruits as needed. 2. Chop apple, banana, and orange into bite-sized pieces. 3. Place all chopped fruits in a bowl. 4. Gently toss them together. 5. Optionally, add honey or lemon juice. 6. Serve fresh."
Grilled Cheese,"bread;cheese;butter","1. Butter one side of each bread slice. 2. Place a slice of cheese between the unbuttered sides. 3. Heat a skillet over medium heat. 4. Cook the sandwich on both sides until the bread is golden and the cheese has melted. 5. Serve warm."
Palov,"rice;carrot;onion;meat;oil;spices","1. Heat oil in a deep pan. 2. Add chopped onions and fry until golden. 3. Add meat pieces and cook until browned. 4. Stir in sliced carrots and cook for a few minutes. 5. Season with spices. 6. Add washed rice and water. 7. Cover and cook until rice is tender and water is absorbed. 8. Serve hot."
Biryani,"rice;chicken;yogurt;onion;spices;oil","1. Marinate chicken with yogurt and spices. 2. Heat oil in a pan, fry onions until golden. 3. Add marinated chicken and cook until almost done. 4. Parboil rice separately until 70% cooked. 5. Layer rice and chicken in a pot. 6. Add fried onions and more spices between layers. 7. Cover tightly and steam (dum) on low heat until fully cooked. 8. Serve with raita."
Egg Rice,"rice;egg;onion;oil;soy sauce","1. Cook rice and let it cool. 2. Heat oil in a wok or pan. 3. Scramble eggs and set aside. 4. Add chopped onions and stir-fry until soft. 5. Add the scrambled eggs back and mix. 6. Add cooked rice and stir well. 7. Pour in soy sauce and mix until evenly coated. 8. Serve hot."
Fried Rice,"rice;egg;carrot;peas;soy sauce;oil","1. Cook and cool rice. 2. Heat oil in a wok. 3. Scramble eggs and set aside. 4. Stir-fry carrots and peas until tender. 5. Add rice and stir-fry for a few minutes. 6. Add scrambled eggs and soy sauce. 7. Toss everything together. 8. Serve hot."
Vegetable Rice,"rice;carrot;beans;peas;onion;oil","1. Cook rice and set aside. 2. Heat oil in a pan, sauté onions until soft. 3. Add chopped carrots, beans, and peas, cook until tender. 4. Season with salt and spices. 5. Mix in cooked rice. 6. Stir well and serve."
Chicken Rice,"rice;chicken;onion;garlic;oil;spices","1. Cook rice separately and set aside. 2. Heat oil in a pan, add chopped onions and garlic, sauté until golden. 3. Add chicken pieces and cook until done. 4. Season with spices. 5. Mix in cooked rice and stir well. 6. Serve hot."
